Country,Region,GDP_PC,Gini,Urbanization,Fertility,Suicide,Social_Protection
Angola,Sub-Saharan Africa,7180.3555,51.3,65.15833333333333,5.565333333333334,6.933333333333334,10.334349168176
Bangladesh,South Asia,4056.6465,32.4,36.243833333333335,2.201166666666667,2.9983333333333335,41.3502877461793
Botswana,Sub-Saharan Africa,15515.622,54.9,69.04716666666667,2.9458333333333333,10.091666666666667,55.4438058323504
Cambodia,Southeast Asia,3692.43,,23.195833333333336,2.720166666666667,4.428333333333334,
Cameroon,Sub-Saharan Africa,2815.3162,,56.07266666666667,4.739166666666667,8.211666666666666,
Comoros,Sub-Saharan Africa,1801.6912,,28.897000000000002,4.243833333333334,6.278333333333333,7.66578496037971
Ecuador,Latin America,10716.904,45.68333333333334,63.762499999999996,2.0953333333333335,8.456666666666667,55.9357276392953
Eswatini,Sub-Saharan Africa,8219.499,54.6,23.7225,2.998666666666667,26.814999999999998,81.2011087761762
Ghana,Sub-Saharan Africa,3983.1216,43.5,55.726333333333336,3.7256666666666667,5.366666666666667,20.2477279036942
Guatemala,Latin America,7399.198,,50.88316666666666,2.7775,5.583333333333333,
Haiti,Latin America,1773.1095,,54.78783333333333,2.9565,8.163333333333332,
Honduras,Latin America,5052.2056,49.1,56.77,2.6576666666666666,3.5700000000000003,38.83672127397992
India,South Asia,7046.4365,,33.83116666666667,2.186166666666667,14.236666666666666,
Jamaica,Latin America,7569.063,35.3,55.5465,1.4288333333333334,1.6366666666666667,52.7709610708534
Kenya,Sub-Saharan Africa,3120.4314,38.5,26.8095,3.5661666666666663,5.716666666666666,27.4008933478285
Mauritania,Sub-Saharan Africa,3567.1013,32.0,53.23016666666666,5.069,2.735,
Namibia,Sub-Saharan Africa,8805.334,59.1,49.4955,3.484,8.558333333333332,43.7331616063776
Nicaragua,Latin America,4930.4297,,58.42966666666666,2.364333333333333,4.6866666666666665,
Nigeria,Sub-Saharan Africa,5215.3755,35.5,49.916500000000006,5.101666666666667,4.443333333333333,13.548542324045261
Pakistan,South Asia,5299.071,30.450000000000003,36.57333333333333,3.8699999999999997,6.151666666666666,19.07831628770395
Paraguay,Latin America,8915.669,46.53333333333333,61.453833333333336,2.5738333333333334,6.6933333333333325,69.76879416253402
Philippines,Southeast Asia,8234.928,43.45,46.817499999999995,2.4501666666666666,3.2416666666666667,41.83057407916885
Sri Lanka,South Asia,12051.547,38.5,18.454166666666666,2.0429999999999997,14.823333333333332,36.3205582552867
Zimbabwe,Sub-Saharan Africa,1900.1992,47.3,32.26316666666667,3.7921666666666667,15.356666666666667,26.0286452133426
STATISTICS_MEAN,-,6202.570195833334,43.418627450980395,46.12867361111111,3.2315069444444444,7.715694444444445,37.73505644984541
STATISTICS_MEDIAN,-,5257.22325,43.5,50.39983333333333,2.9511666666666665,6.215,38.83672127397992
