ISO3,Country,GDP_Per_Capita,Gini_Index,Wealth_Top10_Share
ARG,Argentina,18292.318,42.0125,58.72857142857144
AUS,Australia,52049.43,33.8,57.240000000000016
BOL,"Bolivia, Plurinational State of",6481.3906,41.9125,63.60357142857141
CAN,Canada,45529.645,30.5,60.07285714285714
CHL,Chile,22740.72,44.333333333333336,71.17714285714285
COL,Colombia,14468.964,54.225,70.15857142857143
CRI,Costa Rica,15496.82,47.3875,65.00642857142857
DOM,Dominican Republic,17713.52,38.2125,63.635000000000005
ESP,Spain,34123.387,33.7,57.112857142857145
GBR,United Kingdom,38406.53,32.5,56.751428571428576
JAM,Jamaica,7481.6685,39.9,63.59714285714286
LBN,Lebanon,10341.159,35.3,67.03857142857143
LTU,Lithuania,30863.32,36.2375,57.32928571428572
MNG,Mongolia,13442.906,31.4,58.70285714285715
MOZ,Mozambique,1087.836,49.6,70.82857142857144
NLD,Netherlands,49669.867,25.85,48.138571428571424
PER,Peru,12762.967,40.900000000000006,68.88
PRT,Portugal,28992.059,34.6875,59.77285714285715
RUS,Russian Federation,25437.107,33.575,71.41071428571429
RWA,Rwanda,2198.0662,39.4,65.87714285714286
SRB,Serbia,17097.686,33.425,57.85499999999999
THA,Thailand,16421.072,34.0625,64.37214285714286
URY,Uruguay,20181.94,40.725,76.10142857142857
USA,United States,58487.465,41.2875,72.16571428571429
